Rank (2017),City/Town,Russian,Federal District,Population (2017),Population (2010),Change%
139,Nevinnomyssk,Невинномысск,"North Caucasus
",117676,118360,-0.577897938492734
140,Dimitrovgrad,Димитровград,"Volga
",116055,122580,-5.323054331864904
141,Nazran,Назрань,"North Caucasus
",116020,93335,24.304923126372742
142,Kyzyl,Кызыл,"Siberia
",116015,109918,5.5468622063720225
143,Oktyabrsky,Октябрьский,"Volga
",113929,109474,4.069459415020918
144,Obninsk,Обнинск,"Central
",113639,104739,8.497312366931133
145,Kaspiysk,Каспийск,"North Caucasus
",113348,100129,13.201969459397379
146,Novy Urengoy,Новый Уренгой,"Ural
",113254,104107,8.786152708271299
147,Ramenskoye,Раменское,"Central
",112989,96317,17.309509224747448
148,Kamyshin,Камышин,"South
",111775,119565,-6.515284573244679
149,Murom,Муром,"Central
",109809,116075,-5.398233900495369
150,Zhukovsky,Жуковский,"Central
",108980,104736,4.052092881148793
151,Novoshakhtinsk,Новошахтинск,"South
",108782,111075,-2.0643709205491785
152,Seversk,Северск,"Siberia
",107922,108590,-0.615157933511373
153,Yessentuki,Ессентуки,"North Caucasus
",107404,100996,6.344805734880589
154,Noyabrsk,Ноябрьск,"Ural
",106879,110620,-3.3818477671307177
155,Artyom,Артём,"Far East
",106732,102603,4.024248803641219
156,Pushkino,Пушкино,"Central
",106577,102874,3.599548962808873
157,Achinsk,Ачинск,"Siberia
",105264,109155,-3.5646557647382164
158,Yelets,Елец,"Central
",105016,108404,-3.1253459281945317
159,Sergiyev Posad,Сергиев Посад,"Central
",104579,111179,-5.936372876172658
160,Arzamas,Арзамас,"Volga
",104547,106362,-1.70643650927963
161,Dolgoprudny,Долгопрудный,"Central
",104238,90956,14.602665024847179
162,Elista,Элиста,"South
",103899,103749,0.14457970679235463
163,Berdsk,Бердск,"Siberia
",103290,97296,6.160582141095214
164,Novokuybyshevsk,Новокуйбышевск,"Volga
",102933,108438,-5.076633652409672
165,Noginsk,Ногинск,"Central
",102267,100072,2.19342073706931
166,Zheleznogorsk,Железногорск,"Central
",100671,95049,5.9148439226083385
167,Reutov,Реутов,"Central
",99989,87314,14.516572370982889
168,Zelenodolsk,Зеленодольск,"Volga
",99235,97674,1.5981735159817352
169,Tobolsk,Тобольск,"Ural
",98886,99694,-0.8104800690111743
170,Khanty-Mansiysk,Ханты-Мансийск,"Ural
",98692,80151,23.132587241581515
171,Votkinsk,Воткинск,"Volga
",98063,99022,-0.9684716527640321
172,Sarapul,Сарапул,"Volga
",97910,101381,-3.4237184482299448
173,Mezhdurechensk,Междуреченск,"Siberia
",97895,101678,-3.7205688546194846
174,Ukhta,Ухта,"Northwest
",97806,99591,-1.79233063228605
175,Serov,Серов,"Ural
",97762,99373,-1.6211647026858405
176,Leninsk-Kuznetsky,Ленинск-Кузнецкий,"Siberia
",96921,101666,-4.667243719630949
177,Gatchina,Гатчина,"Northwest
",95186,92937,2.419918869771996
178,Sarov,Саров,"Volga
",95065,92047,3.278759764033592
179,Solikamsk,Соликамск,"Volga
",94628,97384,-2.830033681097511
180,Voskresensk,Воскресенск,"Central
",94019,91464,2.7934487885944197
181,Michurinsk,Мичуринск,"Central
",93690,98758,-5.131736163146277
182,Glazov,Глазов,"Volga
",93628,95854,-2.322281803576272
183,Velikiye Luki,Великие Луки,"Northwest
",92757,98778,-6.095486849298426
184,Magadan,Магадан,"Far East
",92711,95982,-3.407930653664229
185,Kiselyovsk,Киселёвск,"Siberia
",90980,98365,-7.507751740964775
186,Kansk,Канск,"Siberia
",90231,94226,-4.239806422855687
187,Kamensk-Shakhtinsky,Каменск-Шахтинский,"South
",89657,95296,-5.917352249832102
188,Novotroitsk,Новотроицк,"Volga
",88216,98173,-10.14229981766881
189,Mikhaylovsk,Михайловск,"North Caucasus
",87916,70981,23.85849734435976
190,Lobnya,Лобня,"Central
",87352,74252,17.64262242094489
191,Gubkin,Губкин,"Central
",86999,88560,-1.762646793134598
192,Buzuluk,Бузулук,"Volga
",86316,82904,4.115603589694104
193,Bugulma,Бугульма,"Volga
",85476,89204,-4.179184789919735
194,Yeysk,Ейск,"South
",84259,87769,-3.9991340906242527
195,Zheleznogorsk,Железногорск,"Siberia
",84144,84795,-0.7677339465770388
196,Kineshma,Кинешма,"Central
",83871,88164,-4.869334422213148
197,Chaykovsky,Чайковский,"Volga
",83486,82895,0.7129501176186742
198,Kuznetsk,Кузнецк,"Volga
",83400,88839,-6.122311147131327
199,Ust-Ilimsk,Усть-Илимск,"Siberia
",82455,86610,-4.797367509525459
200,Yurga,Юрга,"Siberia
",81733,81533,0.24529944930273634
201,Novouralsk,Новоуральск,"Ural
",81577,85522,-4.612848156030027
202,Azov,Азов,"South
",81335,82937,-1.9315866259932237
203,Ozyorsk,Озёрск,"Ural
",79265,82164,-3.52830923518816
204,Kropotkin,Кропоткин,"South
",79152,80765,-1.9971522317835697
205,Klin,Клин,"Central
",79056,80585,-1.8973754420797917
206,Vyborg,Выборг,"Northwest
",78457,79962,-1.8821440184087441
207,Bor,Бор,"Volga
",78385,78058,0.4189192651618027
208,Usolye-Sibirskoye,Усолье-Сибирское,"Siberia
",77989,83327,-6.406086862601558
209,Balashov,Балашов,"Volga
",77391,82227,-5.88127987157503
210,Shadrinsk,Шадринск,"Ural
",75623,77756,-2.74319666649519
211,Mineralnye Vody,Минеральные Воды,"North Caucasus
",75381,76728,-1.7555520800750704
212,Anapa,Анапа,"South
",75375,58990,27.775894219359216
213,Troitsk,Троицк,"Ural
",75231,78372,-4.007808911345888
214,Dubna,Дубна,"Central
",75018,70663,6.1630556302449655
215,Gelendzhik,Геленджик,"South
",74887,54980,36.20771189523463
216,Chernogorsk,Черногорск,"Siberia
",74698,72147,3.535836555920551
217,Ivanteyevka,Ивантеевка,"Central
",74497,58626,27.07160645447412
218,Birobidzhan,Биробиджан,"Far East
",74095,75413,-1.7477092808932146
219,Yelabuga,Елабуга,"Volga
",73817,70728,4.367435810428685
220,Yegoryevsk,Егорьевск,"Central
",73723,70081,5.196843652345144
221,Novoaltaysk,Новоалтайск,"Siberia
",73712,70437,4.649544983460397
222,Kirovo-Chepetsk,Кирово-Чепецк,"Volga
",73279,80921,-9.443778500018537
223,Chapayevsk,Чапаевск,"Volga
",72944,72692,0.34666813404501184
214,Belovo,Белово,"Siberia
",72843,76764,-5.107863060809755
215,Anzhero-Sudzhensk,Анжеро-Судженск,"Siberia
",71787,76646,-6.339535005088329
226,Chekhov,Чехов,"Central
",70548,60720,16.185770750988144
227,Vsevolozhsk,Всеволожск,"Northwest
",70292,59704,17.734155165483052
228,Verkhnyaya Pyshma,Верхняя Пышма,"Ural
",69117,59749,15.678923496627558
229,Georgiyevsk,Георгиевск,"North Caucasus
",69030,72153,-4.328302357490333
230,Tuymazy,Туймазы,"Volga
",68410,66836,2.355018253635765
231,Minusinsk,Минусинск,"Siberia
",68410,71170,-3.8780384993677113
232,Sosnovy Bor,Сосновый Бор,"Northwest
",68045,65788,3.430716848057396
233,Kstovo,Кстово,"Volga
",67723,66657,1.5992318886238506
234,Dmitrov,Дмитров,"Central
",67506,61305,10.11499877660876
235,Belogorsk,Белогорск,"Far East
",66445,68249,-2.6432621723395213
236,Stupino,Ступино,"Central
",66341,66816,-0.7109075670498084
237,Gukovo,Гуково,"South
",66332,67278,-1.4061060079074883
238,Kungur,Кунгур,"Volga
",66157,66074,0.1256167327541847
239,Slavyansk-na-Kubani,Славянск-на-Кубани,"South
",66014,63842,3.402149055480718
240,Beloretsk,Белорецк,"Volga
",65801,68806,-4.367351684446124
241,Pavlovsky Posad,Павловский Посад,"Central
",65432,63711,2.7012603788984633
242,Ishimbay,Ишимбай,"Volga
",65422,66259,-1.2632246185423868
243,Ishim,Ишим,"Ural
",65259,65243,0.024523703692350136
244,Vidnoye,Видное,"Central
",65074,56752,14.663800394699747
245,Zarechny,Заречный,"Volga
",64982,63601,2.171349507083222
246,Kogalym,Когалым,"Ural
",64704,58181,11.211563912617521
247,Asbest,Асбест,"Ural
",64666,68893,-6.135601585066698
248,Buynaksk,Буйнакск,"North Caucasus
",64538,62623,3.057981891637258
249,Volsk,Вольск,"Volga
",63947,66508,-3.8506645817044562
250,Donskoy,Донской,"Central
",63842,64552,-1.0998884620151197
251,Gorno-Altaysk,Горно-Алтайск,"Siberia
",63295,56933,11.174538492614126
252,Leninogorsk,Лениногорск,"Volga
",63049,64127,-1.6810391878615871
253,Rossosh,Россошь,"Central
",62884,62865,0.030223494790423924
254,Tuapse,Туапсе,"South
",62841,63292,-0.712570309043797
255,Klintsy,Клинцы,"Central
",62832,62510,0.5151175811870101
